bagid,naam,adamlink
363300000005904,"'s-Gravelandse Veer",https://adamlink.nl/geo/street/sgravenlandseveer/3925
457300000000068,'s-Gravelandseweg,https://adamlink.nl/geo/street/sgravelandseweg/8875
363300000004442,'s-Gravenhekje,https://adamlink.nl/geo/street/sgravenhekje/4055
363300000002024,"A. Reitsmakade",https://adamlink.nl/geo/street/a-reitsmakade/2
363300000002619,"A.A.H. Struijckenkade",https://adamlink.nl/geo/street/aah-struijckenkade/6
363300000002624,Aalsmeerplein,https://adamlink.nl/geo/street/aalsmeerplein/9
363300000001550,Aandewind,https://adamlink.nl/geo/street/aandewind/12
457300000000232,"Aartje de Voseiland",https://adamlink.nl/geo/street/aartje-de-voseiland/8879
363300000002631,"Abraham Staalmanplein",https://adamlink.nl/geo/street/abraham-staalmanplein/28
363300000002636,Achtergouwtje,https://adamlink.nl/geo/street/achtergouwtje-zunderdorp/37
363300000005366,Achtersteven,https://adamlink.nl/geo/street/achtersteven/40
363300000002639,"Adam van Germezhof",https://adamlink.nl/geo/street/adam-van-germezhof/44
363300000002641,Adelaarsweg,https://adamlink.nl/geo/street/adelaarsweg/47
363300000002642,"AdÃ¨le Opzoomerstraat",https://adamlink.nl/geo/street/adele-opzoomerstraat/48
363300000002643,Adingerdorphof,https://adamlink.nl/geo/street/adingerdorphof/50
363300000001216,"Adolphine Eduardine Kokplantsoen",https://adamlink.nl/geo/street/adolphine-eduardine-kokplantsoen/56
363300000002649,"Adriaan Kluitstraat",https://adamlink.nl/geo/street/adriaan-kluitstraat/59
363300000005964,"AdriÃ«nne Solserhof",https://adamlink.nl/geo/street/adrienne-solserhof/6368
457300000000008,Aetsveldseweg,https://adamlink.nl/geo/street/aetsveldseweg/8890
363300000000997,Afroditekade,https://adamlink.nl/geo/street/afroditekade/72
363300000001482,Akersingel,https://adamlink.nl/geo/street/akersingel/81
363300000000899,Albatrospad,https://adamlink.nl/geo/street/albatrospad/90
363300000002671,"Albert Schultenshof",https://adamlink.nl/geo/street/albert-schultenshof/97
363300000002672,"Albert Verweystraat",https://adamlink.nl/geo/street/albert-verweystraat/98
363300000002673,"Albertus Magnushof",https://adamlink.nl/geo/street/albertus-magnushof/99
363300000002679,Aldendriel,https://adamlink.nl/geo/street/aldendriel/105
363300000002683,Alexanderkade,https://adamlink.nl/geo/street/alexanderkade/110
363300000002685,Alexanderstraat,https://adamlink.nl/geo/street/alexanderstraat/112
363300000002691,"Alpert van Metzhof",https://adamlink.nl/geo/street/alpert-van-metzhof/121
363300000002693,Amandelstraat,https://adamlink.nl/geo/street/amandelstraat/124
363300000002702,Amsteldijk,https://adamlink.nl/geo/street/amsteldijk/137
363300000002703,Amstelkade,https://adamlink.nl/geo/street/amstelkade/140
363300000005592,Amstelpark,
363300000006059,Andreasplein,https://adamlink.nl/geo/street/andreasplein/161
363300000002714,"Andries Vierlinghstraat",https://adamlink.nl/geo/street/andries-vierlinghstraat/163
363300000001483,Anielewiczsingel,https://adamlink.nl/geo/street/anielewiczsingel/167
363300000005882,"Ank van der Moerstraat",https://adamlink.nl/geo/street/ank-van-der-moerstraat/169
363300000000939,"Anna Blamansingel",https://adamlink.nl/geo/street/anna-blamansingel/5279
363300000002723,"Annette Versluysstraat",https://adamlink.nl/geo/street/annette-versluysstraat/179
363300000001107,"Annie Romeinplein",https://adamlink.nl/geo/street/annie-romeinplein/181
363300000002724,Anselmushof,https://adamlink.nl/geo/street/anselmushof/182
363300000002728,"Anthony Fokkerweg",https://adamlink.nl/geo/street/anthony-fokkerweg/186
363300000002729,"Anthony Spatzierhof",https://adamlink.nl/geo/street/anthony-spatzierhof/188
363300000002141,"Anton HÃ¶lzelsingel",https://adamlink.nl/geo/street/anton-holzelsingel/192
363300000002731,"Anton Petershof",https://adamlink.nl/geo/street/anton-petershof/193
363300000002732,"Anton Struikstraat",https://adamlink.nl/geo/street/anton-struikstraat/195
363300000002734,"Anton Waldorpstraat",https://adamlink.nl/geo/street/anton-waldorpstraat/197
457300000000013,Aquamarin,https://adamlink.nl/geo/street/aquamarin/8895
363300000002740,Aragohof,https://adamlink.nl/geo/street/aragohof/205
363300000002744,Archimedeslaan,https://adamlink.nl/geo/street/archimedeslaan/209
363300000001190,Ardennenlaan,https://adamlink.nl/geo/street/ardennenlaan/212
363300000002747,Arenborg,https://adamlink.nl/geo/street/arenborg/214
363300000002748,"Arend Bontekoeplantsoen",https://adamlink.nl/geo/street/arend-bontekoeplantsoen/215
363300000002753,"Arij Prinsstraat",https://adamlink.nl/geo/street/arij-prinsstraat/224
363300000002754,Aristotelesstraat,https://adamlink.nl/geo/street/aristotelesstraat/225
363300000002755,"Arnold Geulincxpad",https://adamlink.nl/geo/street/arnold-geulincxpad/227
363300000002757,"Arthur van Schendelstraat",https://adamlink.nl/geo/street/arthur-van-schendelstraat/233
363300003682806,Atlantisplein,https://adamlink.nl/geo/street/atlantisplein/244
363300000002769,Avogadrostraat,https://adamlink.nl/geo/street/avogadrostraat/252
363300000005523,AziÃ«havenweg,https://adamlink.nl/geo/street/aziehavenweg/257
363300000002772,Baarsjesweg,https://adamlink.nl/geo/street/baarsjesweg/263
363300000002781,Baetostraat,https://adamlink.nl/geo/street/baetostraat/273
363300000002460,"Bakhuizen van den Brinkhof",https://adamlink.nl/geo/street/bakhuizen-van-den-brinkhof/276
363300000002461,"Bakhuys Roozeboomstraat",https://adamlink.nl/geo/street/bakhuys-roozeboomstraat/277
363300000002464,Bakkumstraat,https://adamlink.nl/geo/street/bakkumstraat/280
363300000001484,Baldwinstraat,https://adamlink.nl/geo/street/baldwinstraat/285
363300000002469,Bamberghof,https://adamlink.nl/geo/street/bamberghof/292
363300000002470,Bananenstraat,https://adamlink.nl/geo/street/bananenstraat/293
363300000002471,Bandijkstraat,https://adamlink.nl/geo/street/bandijkstraat/294
363300000005651,Banneplein,https://adamlink.nl/geo/street/banneplein/298
363300000005874,Barnevelderstraat,https://adamlink.nl/geo/street/barnevelderstraat/313
363300000002483,"Bart van Hovestraat",https://adamlink.nl/geo/street/bart-van-hovestraat/323
363300000002493,Becquerelstraat,https://adamlink.nl/geo/street/becquerelstraat/338
363300000002495,"Beek en Hoff",https://adamlink.nl/geo/street/beek-en-hoff/340
363300000002499,Begijnhof,https://adamlink.nl/geo/street/begijnhof/347
363300000002507,Belmermeer,https://adamlink.nl/geo/street/belmermeer/369
363300000005916,"Ben Alder",https://adamlink.nl/geo/street/ben-alder/373
363300000005914,"Ben Avon",https://adamlink.nl/geo/street/ben-avon/374
363300000005915,"Ben Hope",https://adamlink.nl/geo/street/ben-hope/375
363300000005923,"Ben Lawers",https://adamlink.nl/geo/street/ben-lawers/376
363300000005924,"Ben Nevis",https://adamlink.nl/geo/street/ben-nevis/377
363300000005925,"Ben Wyvis",https://adamlink.nl/geo/street/ben-wyvis/381
